variant,n_target,b_crc,cap_fraction,tau_cap,tau_hard_abs,tau_effective,n_hard_locked,n_soft_fusion,hard_lock_fraction,w_mean_soft
recombinant,1958,0.0,0.6718727478636879,0.031743522733449936,0.05,0.031743522733449936,1297,661,0.6624106230847804,0.19144591689109802
20A,4010,2.1911524357756207,0.7932123743636601,0.0035834230948239565,0.05,0.0035834230948239565,3139,871,0.7827930174563591,0.06265782564878464
20B,7126,2.3965803988812695,0.827920792079208,0.0029199200216680765,0.05,0.0029199200216680765,5726,1400,0.8035363457760314,0.02023416757583618
20C,9451,4.9999999999954525,0.8545945945945945,5.071319901617244e-05,0.05,5.071319901617244e-05,6324,3127,0.6691355412125701,0.0005851775640621781
20E,4073,2.3965803988812695,0.8057120294814425,0.0019282684661448002,0.05,0.0019282684661448002,3231,842,0.7932727719125952,0.04645746201276779
Beta,3066,1.7794779989071685,0.8004299825682742,0.003360904287546873,0.05,0.003360904287546873,2444,622,0.7971298108284409,0.08528449386358261
Alpha,346,0.0,0.7494834437086093,0.007470657117664814,0.05,0.007470657117664814,200,146,0.5780346820809249,0.23892107605934143
Gamma,4939,1.6882680799471927,0.7935828877005348,0.005911288782954216,0.05,0.005911288782954216,3864,1075,0.7823446041708848,0.09688225388526917
Delta,15,0.0,0.6708304735758408,0.0077246869914233685,0.05,0.0077246869914233685,10,5,0.6666666666666666,0.08650296926498413
Kappa,7021,4.9999999999954525,0.8651612903225807,5.071319901617244e-05,0.05,5.071319901617244e-05,4551,2470,0.6481982623557898,0.0004964113468304276
Epsilon,7584,2.4281925008017424,0.8451676045999511,0.0018683774396777153,0.05,0.0018683774396777153,6329,1255,0.8345200421940928,0.021017933264374733
Eta,4893,2.1911524357756207,0.8350693419887872,0.002229261677712202,0.05,0.002229261677712202,4054,839,0.8285305538524422,0.036668311804533005
Iota,7503,3.357691949331638,0.8570297504798464,0.00026198389241471887,0.05,0.00026198389241471887,4832,2671,0.6440090630414501,0.002210245467722416
Lambda,7756,2.109277870195001,0.8347126436781609,0.0024190014228224754,0.05,0.0024190014228224754,6339,1417,0.8173027333677153,0.027354851365089417
Mu,6920,1.6882680799471927,0.8270679856872237,0.003907702397555113,0.05,0.003907702397555113,5687,1233,0.8218208092485549,0.07277312874794006
Omicron,13,1.2479565275089044,0.3763510036026763,0.0003233544994145632,0.05,0.0003233544994145632,5,8,0.38461538461538464,0.000713665212970227
S:677,9376,4.9999999999954525,0.8627450980392157,0.00013464951189234853,0.05,0.00013464951189234853,7848,1528,0.8370307167235495,0.0006466819904744625
