variant,status,reason
recombinant,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
20A,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
20B,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
20C,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
20E,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Beta,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Alpha,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Gamma,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Delta,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Kappa,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Epsilon,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Eta,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Iota,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Lambda,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Mu,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
Omicron,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
S:677,ABSTAIN_TO_GAN,release_gate_failed: country-holdout: log-loss 0.6098 vs baseline 0.4615
