iso_code,continent,location,date,new_cases_smoothed_per_million,people_vaccinated_per_hundred,stringency_index,population,median_age,total_tests_per_thousand,classification,Overall_score,group,total_sequence,recombinant,20A,20B,20C,20E,Beta,Alpha,Gamma,Delta,Kappa,Epsilon,Eta,Iota,Lambda,Mu,Omicron,S:677
ABW,North America,Aruba,2020-08-03,4.026,,47.22,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,4,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
ABW,North America,Aruba,2020-08-17,846.738,,62.04,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,1,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
ABW,North America,Aruba,2021-01-04,287.166,,35.19,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,10,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0
ABW,North America,Aruba,2021-01-18,554.204,,48.15,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,85,,0.0,2.0,,3.0,0.0,5.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0
ABW,North America,Aruba,2021-02-01,315.346,,46.3,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,113,,1.0,2.0,,7.0,0.0,13.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,1.0
ABW,North America,Aruba,2021-02-15,273.747,,56.48,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,135,,1.0,7.0,,8.0,2.0,66.0,1.0,0.0,,19.0,,1.0,0.0,0.0,0.0,1.0
ABW,North America,Aruba,2021-03-01,336.816,,56.48,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,116,,0.0,12.0,,0.0,0.0,63.0,1.0,0.0,,19.0,,12.0,0.0,0.0,0.0,0.0
ABW,North America,Aruba,2021-03-15,352.919,,56.48,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,61,,0.0,1.0,,0.0,0.0,52.0,0.0,0.0,,4.0,,3.0,0.0,0.0,0.0,0.0
ABW,North America,Aruba,2021-03-29,602.512,14.65,67.59,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,146,,0.0,2.0,,0.0,1.0,104.0,3.0,13.0,,9.0,,10.0,0.0,0.0,0.0,0.0
ABW,North America,Aruba,2021-04-12,527.366,29.25,60.19,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,152,,0.0,1.0,,0.0,0.0,103.0,13.0,3.0,,1.0,,19.0,1.0,1.0,0.0,0.0
ABW,North America,Aruba,2021-04-26,335.475,50.01,60.19,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,106,,0.0,0.0,,0.0,0.0,64.0,14.0,0.0,,0.0,,24.0,0.0,2.0,0.0,0.0
ABW,North America,Aruba,2021-05-10,173.105,52.61,51.85,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,72,,0.0,0.0,,0.0,0.0,38.0,7.0,10.0,,0.0,,11.0,0.0,4.0,0.0,0.0
ABW,North America,Aruba,2021-05-24,88.565,57.81,51.85,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,142,,0.0,0.0,,0.0,0.0,34.0,49.0,0.0,,0.0,,10.0,1.0,47.0,0.0,0.0
ABW,North America,Aruba,2021-06-07,81.856,60.29,45.37,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,43,,0.0,0.0,,0.0,0.0,6.0,25.0,4.0,,0.0,,4.0,0.0,4.0,0.0,0.0
ABW,North America,Aruba,2021-06-21,40.257,62.93,33.33,106459.0,41.2,,HIGH-INCOME,1.3299000000000103,Hybrid regime,9,,0.0,0.0,,0.0,0.0,0.0,3.0,2.0,,0.0,,0.0,0.0,4.0,0.0,0.0
